index,regime,strategy,observation_count,alpha,annualized_alpha,r_squared,residual_volatility,equity_beta,defensive_beta,real_asset_beta
0,0,dynamic,67,0.0007950892955492243,0.20036250247840454,0.7704465587937985,0.012446997624184561,0.5038617139999991,-0.08705724763488665,-0.13822697766200204
1,0,static,67,0.000675968945279771,0.1703441742105023,1.0,1.391269659914837e-15,0.505227016753321,-0.0505384804639997,-0.18766927375582
2,1,dynamic,44,0.0008346532997048155,0.21033263152561352,0.26173892315386393,0.012868882967733624,0.1236612389523606,-0.0367631076764376,-0.013368326913859134
3,1,static,44,0.0007220704892091851,0.18196176328071464,1.0,1.5117938953100185e-15,0.49136814481660407,-0.14608151786808105,-0.053120486309257656
4,2,dynamic,58,0.0006668976722783299,0.16805821341413912,0.7508721526860201,0.008169807544510006,0.25388876102397917,-0.1525021715358245,0.07537805286190664
5,2,static,58,0.0006759689452797789,0.1703441742105043,1.0,1.3677906211275668e-15,0.5052270167533229,-0.050538480463995644,-0.187669273755827
